time,value
"2019-10-04 23:45:00",0.000
"2019-10-04 23:50:00",0.000
"2019-10-05 04:45:00",0.000
"2019-10-05 04:50:00",0.000
"2019-10-05 04:55:00",0.000
"2019-10-05 05:00:00",0.000
"2019-10-05 05:05:00",0.000
"2019-10-05 05:10:00",0.000
"2019-10-05 05:15:00",0.000
"2019-10-05 05:20:00",0.000
"2019-10-05 08:15:00",0.000
"2019-10-05 08:20:00",0.000
"2019-10-05 08:25:00",0.000
"2019-10-05 08:30:00",0.000
"2019-10-05 08:35:00",0.000
"2019-10-05 08:40:00",0.000
"2019-10-05 08:45:00",0.000
"2019-10-05 08:50:00",0.000
"2019-10-05 08:55:00",0.000
"2019-10-05 09:00:00",0.000
"2019-10-05 09:05:00",0.000
"2019-10-05 09:10:00",0.000
"2019-10-05 09:15:00",0.000
"2019-10-05 09:20:00",0.000
"2019-10-05 09:25:00",0.000
"2019-10-05 09:30:00",0.000
"2019-10-05 09:35:00",0.000
"2019-10-05 09:40:00",0.000
"2019-10-05 09:45:00",0.000
"2019-10-05 09:50:00",0.000
"2019-10-05 09:55:00",0.000
"2019-10-05 10:00:00",0.000
"2019-10-05 10:05:00",0.000
"2019-10-05 10:10:00",0.000
"2019-10-05 10:15:00",0.000
"2019-10-05 10:20:00",0.000
"2019-10-05 10:25:00",0.000
"2019-10-05 10:30:00",0.000
"2019-10-05 10:35:00",0.000
"2019-10-05 10:40:00",0.000
"2019-10-05 10:45:00",0.000
"2019-10-05 10:50:00",0.000
"2019-10-05 10:55:00",0.000
"2019-10-05 11:00:00",0.000
"2019-10-05 11:05:00",0.002
"2019-10-05 11:10:00",0.002
"2019-10-05 11:15:00",0.002
"2019-10-05 11:20:00",0.001
"2019-10-05 11:25:00",0.001
"2019-10-05 11:30:00",0.001
"2019-10-05 11:35:00",0.001
"2019-10-05 11:40:00",0.001
"2019-10-05 11:45:00",0.001
"2019-10-05 18:25:00",0.000
"2019-10-05 18:30:00",0.000
"2019-10-05 18:35:00",0.000
"2019-10-05 18:40:00",0.000
"2019-10-05 18:45:00",0.000
"2019-10-05 18:50:00",0.000
"2019-10-05 18:55:00",0.000
"2019-10-05 19:00:00",0.000
"2019-10-05 19:05:00",0.053
"2019-10-05 19:10:00",0.053
"2019-10-05 19:15:00",0.053
"2019-10-05 19:20:00",0.078
"2019-10-05 19:25:00",0.078
"2019-10-05 19:30:00",0.078
"2019-10-05 19:35:00",0.024
"2019-10-05 19:40:00",0.024
"2019-10-05 19:45:00",0.024
"2019-10-05 19:50:00",0.000
"2019-10-05 19:55:00",0.000
"2019-10-05 20:00:00",0.000
"2019-10-05 20:05:00",0.000
"2019-10-05 20:10:00",0.000
"2019-10-05 20:15:00",0.000
"2019-10-05 20:20:00",0.000
"2019-10-05 20:25:00",0.000
"2019-10-05 20:30:00",0.000
"2019-10-05 20:35:00",0.000
"2019-10-05 20:40:00",0.000
"2019-10-05 20:45:00",0.000
"2019-10-05 20:50:00",0.000
"2019-10-05 20:55:00",0.000
"2019-10-05 21:00:00",0.000
"2019-10-05 21:05:00",0.000
"2019-10-05 21:10:00",0.000
"2019-10-05 21:15:00",0.000
"2019-10-05 21:20:00",0.000
"2019-10-05 21:25:00",0.000
"2019-10-05 21:30:00",0.000
"2019-10-05 21:35:00",0.000
"2019-10-05 21:40:00",0.000
"2019-10-05 21:45:00",0.000
"2019-10-05 21:50:00",0.001
"2019-10-05 21:55:00",0.001
"2019-10-05 22:00:00",0.001
"2019-10-05 22:05:00",0.000
"2019-10-05 22:10:00",0.000
"2019-10-05 22:15:00",0.000
"2019-10-05 22:20:00",0.000
"2019-10-05 22:25:00",0.000
"2019-10-05 22:30:00",0.000
"2019-10-05 22:35:00",0.000
"2019-10-05 22:40:00",0.000
"2019-10-05 22:45:00",0.000
"2019-10-05 22:50:00",0.000
"2019-10-05 22:55:00",0.000
"2019-10-05 23:00:00",0.000
"2019-10-05 23:05:00",0.000
"2019-10-05 23:10:00",0.000
"2019-10-05 23:15:00",0.000
"2019-10-05 23:20:00",0.000
"2019-10-05 23:25:00",0.000
"2019-10-05 23:30:00",0.000
"2019-10-05 23:35:00",0.000
"2019-10-05 23:40:00",0.000
"2019-10-05 23:45:00",0.000
"2019-10-05 23:50:00",0.000
"2019-10-05 23:55:00",0.000
"2019-10-06 00:00:00",0.000
"2019-10-06 00:05:00",0.000
"2019-10-06 00:10:00",0.000
"2019-10-06 00:15:00",0.000
"2019-10-06 00:20:00",0.000
"2019-10-06 00:25:00",0.000
"2019-10-06 00:30:00",0.000
"2019-10-06 00:35:00",0.000
"2019-10-06 00:40:00",0.000
"2019-10-06 00:45:00",0.000
"2019-10-06 00:50:00",0.000
"2019-10-06 00:55:00",0.000
"2019-10-06 01:00:00",0.000
"2019-10-06 01:05:00",0.000
"2019-10-06 01:10:00",0.000
"2019-10-06 01:15:00",0.000
"2019-10-06 01:20:00",0.000
"2019-10-06 01:25:00",0.000
"2019-10-06 01:30:00",0.000
"2019-10-06 01:35:00",0.000
"2019-10-06 01:40:00",0.000
"2019-10-06 01:45:00",0.000
"2019-10-06 01:50:00",0.000
"2019-10-06 01:55:00",0.000
"2019-10-06 02:00:00",0.000
"2019-10-06 02:05:00",0.000
"2019-10-06 02:10:00",0.000
"2019-10-06 02:15:00",0.000
"2019-10-06 02:20:00",0.000
"2019-10-06 02:25:00",0.000
"2019-10-06 02:30:00",0.000
"2019-10-06 02:35:00",0.000
"2019-10-06 02:40:00",0.000
"2019-10-06 02:45:00",0.000
"2019-10-06 02:50:00",0.000
"2019-10-06 02:55:00",0.000
"2019-10-06 03:00:00",0.000
"2019-10-06 03:05:00",0.000
"2019-10-06 03:10:00",0.000
"2019-10-06 03:15:00",0.000
"2019-10-06 03:20:00",0.000
"2019-10-06 03:25:00",0.000
"2019-10-06 03:30:00",0.000
"2019-10-06 03:35:00",0.000
"2019-10-06 03:40:00",0.000
"2019-10-06 03:45:00",0.000
"2019-10-06 03:50:00",0.000
"2019-10-06 03:55:00",0.000
"2019-10-06 04:00:00",0.000
"2019-10-06 04:05:00",0.000
"2019-10-06 04:10:00",0.000
"2019-10-06 04:15:00",0.000
"2019-10-06 04:20:00",0.000
"2019-10-06 04:25:00",0.000
"2019-10-06 04:30:00",0.000
"2019-10-06 04:35:00",0.000
"2019-10-06 04:40:00",0.000
"2019-10-06 04:45:00",0.000
"2019-10-06 04:50:00",0.000
"2019-10-06 04:55:00",0.000
"2019-10-06 05:00:00",0.000
"2019-10-06 05:05:00",0.000
"2019-10-06 05:10:00",0.000
"2019-10-06 05:15:00",0.000
"2019-10-06 05:20:00",0.000
"2019-10-06 05:25:00",0.000
"2019-10-06 05:30:00",0.000
