longitude,latitude
79.521461,5.722969
79.521461,5.750061
79.521461,5.777153
79.521461,5.804245
79.521461,5.831329
79.521461,5.858421
79.521461,5.885506
79.521461,5.912590
79.521461,5.939682
79.521461,5.966759
79.521461,5.993843
79.521461,6.020920
79.521461,6.047997
79.521461,6.075073
79.521461,6.102150
79.521461,6.129227
79.521461,6.156296
79.521461,6.183365
79.521461,6.210442
79.521461,6.237511
79.521461,6.264572
79.521461,6.291641
79.521461,6.318710
79.521461,6.345772
79.521461,6.372833
79.521461,6.399895
79.521461,6.426949
79.521461,6.454010
79.521461,6.481064
79.521461,6.508125
79.521461,6.535172
79.521461,6.562225
79.521461,6.589272
79.521461,6.616318
79.521461,6.643364
79.521461,6.670418
79.521461,6.697456
79.521461,6.724495
79.521461,6.751541
79.521461,6.778587
79.521461,6.805618
79.521461,6.832657
79.521461,6.859688
79.521461,6.886719
79.521461,6.913757
79.521461,6.940788
79.521461,6.967812
79.521461,6.994843
79.521461,7.021873
79.521461,7.048897
79.521461,7.075912
79.521461,7.102936
79.521461,7.129959
79.521461,7.156975
79.521461,7.183998
79.521461,7.211006
79.521461,7.238014
79.521461,7.265030
79.521461,7.292038
79.521461,7.319054
79.521461,7.346046
79.521461,7.373055
79.521461,7.400063
79.521461,7.427063
79.521461,7.454071
79.521461,7.481064
79.521461,7.508057
79.521461,7.535057
79.521461,7.562050
79.521461,7.589035
79.521461,7.616028
79.521461,7.643021
79.521461,7.670006
79.521461,7.696991
79.521461,7.723969
79.521461,7.750954
79.521461,7.777931
79.521461,7.804909
79.521461,7.831886
79.521461,7.858864
79.521461,7.885834
79.521461,7.912804
79.521461,7.939774
79.521461,7.966743
79.521461,7.993706
79.521461,8.020668
79.521461,8.047630
79.521461,8.074585
79.521461,8.101547
79.521461,8.128502
79.521461,8.155464
79.521461,8.182411
79.521461,8.209366
79.521461,8.236313
79.521461,8.263260
79.521461,8.290207
79.521461,8.317154
79.521461,8.344101
79.521461,8.371033
79.521461,8.397972
79.521461,8.424904
79.521461,8.451843
79.521461,8.478775
79.521461,8.505707
79.521461,8.532631
79.521461,8.559563
79.521461,8.586479
79.521461,8.613403
79.521461,8.640327
79.521461,8.667244
79.521461,8.694168
79.521461,8.721085
79.521461,8.747993
79.521461,8.774902
79.521461,8.801819
